set_uid,set_activity_id,set_date,set_exercise,set_active_time,set_rest_time,set_repetitions,set_weight,set_load
00117933097135,17933097135,2025-01-06,Dumbbell Lateral Raise,PT43.700S,PT59.900S,12,7.0,84.0
00217933097135,17933097135,2025-01-06,Dumbbell Lateral Raise,PT32.600S,PT1M10.100S,12,8.0,96.0
00317933097135,17933097135,2025-01-06,Dumbbell Lateral Raise,PT32.800S,PT1M1.500S,12,8.0,96.0
00417933097135,17933097135,2025-01-06,Dumbbell Lateral Raise,PT34.500S,PT1M3.100S,11,8.0,88.0
00517933097135,17933097135,2025-01-06,Dumbbell Lateral Raise,PT48.100S,PT1M44.600S,11,8.0,88.0
00617933097135,17933097135,2025-01-06,Incline Dumbbell Bench Press,PT54.900S,PT1M2.200S,10,14.0,140.0
00717933097135,17933097135,2025-01-06,Incline Dumbbell Bench Press,PT43.900S,PT1M1.400S,11,16.0,176.0
00817933097135,17933097135,2025-01-06,Incline Dumbbell Bench Press,PT46.400S,PT1M1.300S,11,16.0,176.0
00917933097135,17933097135,2025-01-06,Incline Dumbbell Bench Press,PT46.900S,PT1M3.300S,10,16.0,160.0
01017933097135,17933097135,2025-01-06,Incline Dumbbell Bench Press,PT44.400S,PT1M6.400S,11,16.0,176.0
01117933097135,17933097135,2025-01-06,Dumbbell Front Raise,PT32.600S,PT1M0.500S,12,7.0,84.0
01217933097135,17933097135,2025-01-06,Dumbbell Front Raise,PT37.300S,PT1M3.800S,12,7.0,84.0
01317933097135,17933097135,2025-01-06,Dumbbell Front Raise,PT39.200S,PT1M17.300S,12,7.0,84.0
01417933097135,17933097135,2025-01-06,Dumbbell Front Raise,PT41.400S,PT1M58.200S,12,7.0,84.0
01517933097135,17933097135,2025-01-06,Barbell Bench Press,PT33.500S,PT1M30.800S,8,40.0,320.0
01617933097135,17933097135,2025-01-06,Barbell Bench Press,PT40.500S,PT1M28.900S,8,40.0,320.0
01717933097135,17933097135,2025-01-06,Barbell Bench Press,PT36.600S,PT1M34S,6,40.0,240.0
01817933097135,17933097135,2025-01-06,Barbell Bench Press,PT27.800S,PT1M29.300S,5,40.0,200.0
01917933097135,17933097135,2025-01-06,Barbell Bench Press,PT32.600S,PT1M20.500S,7,30.0,210.0
02017933097135,17933097135,2025-01-06,Military Press,PT42.300S,PT1M14.600S,9,0.0,
02117933097135,17933097135,2025-01-06,Military Press,PT42.600S,PT1M20.800S,9,0.0,
02217933097135,17933097135,2025-01-06,Military Press,PT42.400S,PT1M8.900S,8,0.0,
02317933097135,17933097135,2025-01-06,Military Press,PT37.200S,PT4M38.700S,7,0.0,
02417933097135,17933097135,2025-01-06,Incline Reverse Fly,PT35.800S,PT2M8.500S,10,57.5,575.0
02517933097135,17933097135,2025-01-06,Incline Reverse Fly,PT44.500S,PT1M46.400S,12,57.5,690.0
02617933097135,17933097135,2025-01-06,Incline Reverse Fly,PT42.900S,PT1M38.400S,11,57.5,632.5
02717933097135,17933097135,2025-01-06,Incline Reverse Fly,PT44.300S,PT2M54.400S,8,57.5,460.0
02817933097135,17933097135,2025-01-06,Fly,PT11.400S,PT1M31.500S,12,57.5,690.0
02917933097135,17933097135,2025-01-06,Fly,PT43.300S,PT2M22.600S,12,65.0,780.0
03017933097135,17933097135,2025-01-06,Fly,PT33S,PT1M4.200S,10,65.0,650.0
03117933097135,17933097135,2025-01-06,Fly,PT36.200S,PT6.500S,9,60.0,540.0
